 101 ; Георгиевский крест IV степени №52060 ;  ;  ; Ag ; XF- ; 40 ; qaz21qaz ; 9270 
 102 ; Медаль В память царствования императора Александра III. D-28мм ;  ;  ; Ag ; XF+ ; 27 ; Sky2 ; 4659 
 103 ; Георгиевская медаль IV степени. Временное правительство №1329251 D-28мм ;  ;  ; Б/м ; XF ; 37 ; qaz21qaz ; 12114 
 104 ; Знак Красного Креста за Русско-Турецкую войну 1877-1878 гг ;  ;  ; Ag,эмаль ; XF ; 58 ; Хаа ; 25396 
 105 ; Медаль Геологический конгресс в России 1897 года. D-27мм ;  ;  ; Ag ; XF+ ; 36 ; Продано в зале ; 9500 
 106 ; Жетон на открытие памятника Петру I D-25мм ;  ;  ; Ag ; VF+ ; 63 ; опс ; 17000 
 107 ; Жетон на открытие памятника Петру I D-25мм ;  ;  ; Br ; VF+ ; 49 ; oversнtag ; 12273 
 108 ; 3 рубля. М-10,21г ; 1830 ; СПБ ; Pt ; VF ; 35 ; ctepanovich ; 52000 
 51 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; XF+ ; 44 ; rogogor ; 3003 
 52 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 49 ; pilot2371 ; 15000 
 53 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 26 ; pilot2371 ; 6831 
 54 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 39 ; Продано в зале ; 13000 
 55 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 67 ; grut ; 14000 
 56 ; 5 копеек. В капсуле NGC ; 1905 ; СПБ АР ; Ag ;  ; 56 ; Продано в зале ; 3700 
 57 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF ; 44 ; 44222 ; 5000 
 58 ; 5 копеек ; 1765 ; ММ ; Cu ; F-VF ; 21 ; N.A.S.A ; 1000 
 59 ; 5 копеек ; 1766 ; ММ ; Cu ; VF- ; 12 ; Снежный Барс ; 551 
 60 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 36 ; Продано в зале ; 5500 
 61 ; 5 копеек ; 1781 ; КМ ; Cu ; VF ; 40 ; Кемская ; 7778 
 62 ; 5 копеек ; 1788 ; ММ ; Cu ; VF ; 43 ; Чук ; 2900 
 63 ; 5 копеек ; 1791 ; АМ ; Cu ; XF- ; 32 ; Продано в зале ; 900 
 64 ; 5 копеек ; 1793 ; АМ ; Cu ; XF ; 33 ; Кемская ; 4000 
 65 ; 5 копеек (Петров-2р, Ильин-1р) ; 1802 ; КМ ; Cu ; VF+ ; 89 ; Diatez ; 21000 
 66 ; 5 копеек ; 1808 ; КМ ; Cu ; VF+ ; 51 ; Продано в зале ; 7500 
 67 ; 5 копеек (Петров-5р, Ильин-3р) ; 1809 ; КМ ; Cu ; VF-XF ; 58 ; обморок ; 13500 
 68 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; XF ; 26 ; ЛАВ-13 ; 12500 
 69 ; 5 копеек ; 1866 ; ЕМ ; Cu ; XF ; 25 ; sdv75-2010 ; 9000 
 70 ; 2 копейки ; 1763 ; ММ ; Cu ; VF ; 48 ; Продано в зале ; 6000 
 71 ; 2 копейки ; 1765 ; ММ ; Cu ; VF ; 27 ; Продано в зале ; 2200 
 72 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF-XF ; 25 ; 25 ; 15500 
 73 ; 2 копейки ; 1800 ; ЕМ ; Cu ; XF- ; 47 ; papinazu ; 2268 
 74 ; 2 копейки ; 1801 ; ЕМ ; Cu ; XF- ; 43 ; arcadymer ; 1111 
 75 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF ; 37 ; Dzmitry ; 10000 
 76 ; 2 копейки ; 1842 ; ЕМ ; Cu ; VF-XF ; 46 ; sdv75-2010 ; 1950 
 77 ; 2 копейки ; 1852 ; ЕМ ; Cu ; XF ; 25 ; sdv75-2010 ; 5750 
 78 ; Копейка ; 1710 ; БК Новодел ;  ; XF+ ; 58 ; Продано в зале ; 100000 
 79 ; Копейка ; 1820 ; ИМ ЯВ ; Cu ; VF+ ; 20 ; Продано в зале ; 3800 
 80 ; Копейка ; 1854 ; ЕМ ; Cu ; XF ; 21 ; Продано в зале ; 2600 
 81 ; Денга ; 1772 ; КМ "Сибирь" ; Cu ; VF ; 13 ; zigzag ; 3526 
 82 ; Денга ; 1793 ; ЕМ ; Cu ; VF ; 61 ; cotangens ; 5250 
 83 ; Денежка ; 1851 ; ВМ ; Cu ; VF+ ; 43 ; ААФ ; 4587 
 84 ; Денежка ; 1852 ; ВМ ; Cu ; VF-XF ; 33 ; ААФ ; 3573 
 85 ; Денежка ; 1855 ; ВМ ; Cu ; XF ; 59 ; Продано в зале ; 9000 
 86 ; 1/2 копейки ; 1916 ;  ; Cu ; XF+ ; 69 ; Продано в зале ; 17000 
 87 ; Полушка ; 1707 ;  ; Cu ; VF ; 37 ; Сыч ; 4600 
 88 ; Полушка ; 1767 ; КМ "Сибирь" ; Cu ; VF- ; 23 ; Продано в зале ; 1800 
 89 ; Полушка ; 1774 ; КМ "Сибирь" ; Cu ; VF ; 31 ; sergius ; 3627 
 90 ; Полушка (Петров-2,5р, Ильин-3р) ; 1783 ; КМ ; Cu ; F ; 27 ; N.A.S.A ; 3512 
 91 ; Полушка (Петров-2,5р, Ильин-3р) ; 1784 ; КМ ; Cu ; F+ ; 7 ; Лрс 21,12 ; 2800 
 92 ; Полушка (Петров-3р, Ильин-5р) ; 1786 ; КМ ; Cu ; F+ ; 39 ; cotangens ; 3800 
 93 ; Полушка (Петров-2,5р, Ильин-1р) ; 1787 ; КМ ; Cu ; F+ ; 11 ; Лрс 21,12 ; 2039 
 94 ; Полушка ; 1795 ;  ; Cu ; F+ ; 29 ; 😺 ; 7500 
 95 ; 1/4 копейки ; 1867 ; СПБ ; Cu ; AU ; 54 ; Продано в зале ; 20000 
 96 ; 1/4 копейки ; 1872 ; ЕМ ; Cu ; XF+ ; 60 ; Продано в зале ; 3500 
 97 ; 1/4 копейки ; 1881 ; СПБ ; Cu ; AU ; 45 ; Продано в зале ; 10500 
 98 ; 1/4 копейки ; 1882 ; СПБ ; Cu ; XF- ; 36 ; Продано в зале ; 16000 
 99 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 29 ; 😺 ; 2000 
 100 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 26 ; electra ; 2100 
 1 ; 3 рубля. M-10,25г ; 1842 ; СПБ ; Pt ; VF-XF ; 39 ; krugerrand ; 80000 
 2 ; Рубль. М-1,23г ; 1779 ; "Для дворцового обихода" ; Au ; XF ; 32 ; Продано в зале ; 58000 
 3 ; Полтина. М-0,82г ; 1756 ;  ; Au ; XF ; 26 ; Сыч ; 57500 
 4 ; Рубль ; 1719 ; OK ; Ag ; XF ; 73 ; Продано в зале ; 120000 
 5 ; Рубль ; 1721 ;  ; Ag ; XF ; 24 ; 1999 ; 114444 
 6 ; Рубль ; 1723 ; ОК ; Ag ; XF+ ; 36 ; Продано в зале ; 145000 
 7 ; Рубль ; 1726 ;  ; Ag ; XF- ; 28 ; zrtg ; 130000 
 8 ; Рубль ; 1729 ;  ; Ag ; XF ; 30 ; Продано в зале ; 65000 
 9 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 24 ; eastern wind ; 18521 
 10 ; Рубль ; 1742 ; СПБ ; Ag ; VF-XF ; 13 ; Продано в зале ; 18500 
 11 ; Рубль ; 1748 ; СПБ ; Ag ; VF-XF ; 17 ; Продано в зале ; 23000 
 12 ; Рубль ; 1750 ; СПБ ; Ag ; XF- ; 18 ; Sky2 ; 24000 
 13 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; XF ; 5 ; Продано в зале ; 40000 
 14 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; XF ; 30 ; ацетон ; 36000 
 15 ; Рубль ; 1768 ; ММД EI ; Ag ; VF-XF ; 62 ; Продано в зале ; 18000 
 16 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF ; 35 ; rogogor ; 16139 
 17 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; VF-XF ; 20 ; Sky2 ; 19541 
 18 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF-/XF+ ; 31 ; Продано в зале ; 19000 
 19 ; Рубль ; 1819 ; СПБ ПС ; Ag ; XF- ; 38 ; ацетон ; 14500 
 20 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF ; 43 ; Продано в зале ; 26000 
 21 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 33 ; Продано в зале ; 9500 
 22 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF ; 35 ; ацетон ; 9000 
 23 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF ; 26 ; Продано в зале ; 8500 
 24 ; Рубль ; 1847 ; MW ; Ag ; XF+ ; 59 ; sergius ; 29898 
 25 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF ; 64 ; Продано в зале ; 20000 
 26 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF ; 67 ; gusar ; 9293 
 27 ; Рубль ; 1893 ; (АГ) ; Ag ; AU ; 67 ; Продано в зале ; 110000 
 28 ; Рубль ; 1907 ; (ЭБ) ; Ag ; XF ; 26 ; Продано в зале ; 21000 
 29 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF/AU ; 61 ; ZOLTAN333 ; 13000 
 30 ; Рубль. Плоский чекан ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; AU ; 25 ; Продано в зале ; 10000 
 31 ; Рубль. Выпуклый чекан ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; AU ; 28 ; lastfast ; 13000 
 32 ; Рубль. Размытый рельеф ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF+ ; 58 ; Продано в зале ; 12000 
 33 ; Полтина ; 1732 ;  ; Ag ; VF- ; 27 ; Продано в зале ; 19000 
 34 ; Полтина ; 1750 ; СПБ ; Ag ; VF-XF ; 75 ; Продано в зале ; 38000 
 35 ; Полтина ; 1894 ; (АГ) ; Ag ; XF+ ; 39 ; rogogor ; 27532 
 36 ; Полтина ; 1913 ; (ВС) АГ ; Ag ; AU ; 79 ; Продано в зале ; 16000 
 37 ; 25 копеек (Петров-2,5р, Ильин-3р) ; 1852 ; СПБ HI ; Ag ; XF ; 77 ; ЛАВ-13 ; 34000 
 38 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 52 ; Продано в зале ; 7000 
 39 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; XF+ ; 65 ; Продано в зале ; 7000 
 40 ; 20 копеек ; 1771 ; СПБ TI ; Ag ; XF- ; 32 ; Продано в зале ; 7000 
 41 ; 20 копеек ; 1840 ; СПБ НГ ; Ag ; XF+ ; 37 ; Продано в зале ; 18000 
 42 ; 15 копеек ; 1770 ; ММД ; Ag ; XF ; 78 ; Продано в зале ; 23000 
 43 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 25 ; electra ; 4000 
 44 ; Гривенник ; 1781 ; СПБ ; Ag ; XF- ; 24 ; обморок ; 6882 
 45 ; Десять денег. Заделано отверстие (Петров-6р) ; 1704 ;  ; Ag ; F ; 66 ; Продано в зале ; 15000 
 46 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 55 ; pilot2371 ; 6136 
 47 ; 5 копеек ; 1829 ; СПБ НГ ; Ag ; VF+ ; 64 ; eastern wind ; 5697 
 48 ; 5 копеек ; 1841 ; СПБ НГ ; Ag ; VF ; 39 ; Продано в зале ; 6800 
 49 ; 5 копеек ; 1842 ; СПБ АЧ ; Ag ; XF ; 64 ; Продано в зале ; 16000 
 50 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 55 ; rogogor ; 4444 
